bp_number,text_input,concept_type,left_image,right_image,comment
2,"LEFT(EXISTS(HIGH(FIGURES,SIZE)))","size",CLEAR,CLEAR,
3,"LEFT(EXACTLY(1,OUTLINE(FIGURES)))","visual_properties",CLEAR,FAILED,
4,"RRIGHT(LESSER(FIGURES,CONVEXITY))","shape_geometry",FAILED,FAILED,
5,"RIGHT(EXACTLY(1,GET(FIGURES,NSIDES)))","shape_geometry",CLEAR,CLEAR,
6,"RIGHT(EXACTLY(1,QUADRILATERALS))","shape_geometry",FAILED,FAILED,
7,"LEFT(GREATER(FIGURES,ORIENTATION))","size",CLEAR,CLEAR,
8,"LEFT(GREATER(FIGURES,XPOS))","spatial_relationship",CLEAR,CLEAR,
9,"RIGHT(EXISTS(NOISY(FIGURES)))","visual_properties",CLEAR,CLEAR,
10,"LEFT(EXACTLY(1,NOISY(TRIANGLES)))","shape_geometry",CLEAR,PARTIAL,"The quadrilateral fails to completely generate"
11,"LEFT(EXISTS(HIGH(FIGURES,ELONGATION)))","shape_geometry",PARTIAL,CLEAR,"There are elongated parts of a shape on the left"
12,"LEFT(EXISTS(HIGH(GET(FIGURES,HULL),ASPECTR))","shape_geometry",PARTIAL,CLEAR,"The left, a bit too noisy to be considered CLEAR"
13,"LEFT(OR(EXISTS(LOW(CIRCLES,ORIENTATION))),EXISTS(HIGH(QUADRILATERALS,ORIENTATION)))","shape_geometry",FAILED,FAILED,
14,"RIGHT(EXISTS(LOW(FIGURES,SIZE)))","size",CLEAR,CLEAR,
15,"RIGHT(EXISTS(LINES))","shape_geometry",CLEAR,FAILED,
16,"LEFT(EXISTS(MOVING(LINES,CLOCKWISE)))","shape_geometry",CLEAR,CLEAR,
17,"LEFT(EXISTS(REFLEX(ANGLE)))","shape_geometry",CLEAR,CLEAR,
18,"LEFT(EXISTS(PINCHED(FIGURES)))","shape_geometry",FAILED,PARTIAL,"On the right, a very confusing shape has been generated, no pinched shape persay, so keeping at PARTAL"
19,"RIGHT(EXISTS(VERTICAL(PINCHED(FIGURES))))","shape_geometry",CLEAR,CLEAR,
21,"LEFT(EXISTS(LOW(FIGURES,SIZE)))","size",CLEAR,CLEAR,
22,"RIGHT(DIFFERENT(FIGURES,SIZE))","size",FAILED,CLEAR,
23,"LEFT(EXACTLY(1,FIGURES))","numerosity",CLEAR,FAILED,"Left side has one figure, while the right side has many"
24,"LEFT(EXISTS(CIRCLES))","numerosity",CLEAR,CLEAR,
25,"LEFT(EXISTS(SOLID(TRIANGLES)))","visual_properties",FAILED,FAILED,"No black figures are present in either image"
26,"LEFT(EXISTS(SOLID(TRIANGLES)))","numerosity",FAILED,PARTIAL,"No solid black Triangles present in either image, but black noisy shapes on the right makes it a PARTIAL"
27,"LEFT(LESS(OUTLINE(FIGURES),SOLID(FIGURES)))","numerosity",FAILED,CLEAR,"Equal amount of black and outline shapes on the left, the right has a black shape so more quantity concept works"
28,"LEFT(MORE(SOLID(CIRCLES),OUTLINE(CIRCLES)))","numerosity",FAILED,CLEAR,
29,"LEFT(LESS(CIRCLES,INSIDE(CIRCLES)))","numerosity",FAILED,FAILED,"Both sides fail to create an image where there is an 'inside' shape"
30,"LEFT(EXISTS(CROSSING(LINES)))","shape_geometry",FAILED,CLEAR,"Left side has no crossing lines"
31,"LEFT(OR(EXACTLY(1,LINES),EXACLTY(1,CIRCLES))","numerosity",FAILED,FAILED,"There is mostly a shape, vs almost two distinct shapes. but no lines present"
32,"LEFT(EXISTS(MOVING(LOW(GET(FIGURES,ANGLES))),OUTWARDS))","shape_geometry",FAILED,CLEAR,"right side has no sharp projection"
33,"LEFT(EXISTS(ACUTE(ANGLES)))","shape_geometry",CLEAR,CLEAR,
34,"LEFT(EXISTS(BIG(GET(FIGURES,HOLES))))","size",CLEAR,FAILED,"No hole exists on the right side"
